LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,Names,NoRidge,NPkVill,NriddgHt,NWAmes,OLDTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,BsmtQual,SalePrice
-0.214283936,0.655977475,-0.509958227,1.047282391,0.897564761,0.61660002,-0.93414331,-0.455494513,-0.796337764,1.217379256,0.443121169,0.786267259,1.234723961,0.168939693,1.000598348,-0.924861418,0.30912023,0.355415995,-0.739330608,0.208590535,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,3.144516549,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,0.581693188,0.361250511
-0.066743436,-0.060082021,2.189602192,0.155385605,-0.395236728,1.239286175,-0.629475747,0.511364681,0.285392587,-0.786051112,-0.478621577,0.786267259,-0.754515528,0.168939693,-0.28604326,0.629761128,0.30912023,-0.055486181,1.620840597,-0.706743372,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,10.9601708,0.581693188,0.015712833
0.144945107,0.655977475,-0.509958227,0.981215962,0.849683224,0.112956807,-0.288429968,-0.303083212,-0.625818694,1.245530502,0.599488242,0.786267259,1.234723961,0.168939693,-0.28604326,0.629761128,0.30912023,0.635576569,-0.739330608,-0.076513469,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,3.144516549,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,0.581693188,0.553215887
-0.073158241,0.655977475,-0.509958227,-1.859640468,-0.682525948,-0.505150774,-0.047424284,-0.693637172,-0.516579915,0.98747741,0.457523399,-1.026948593,-0.754515528,0.168939693,0.357277544,0.629761128,1.623333136,0.794334227,-0.739330608,-0.181551786,3.877629899,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,5.244077028,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,-0.529715347,-0.515391376
0.531116329,1.372036972,-0.509958227,0.948182748,0.753920151,0.499846366,-0.161106211,0.23273777,-0.026337588,1.684220758,1.447162374,0.786267259,1.234723961,1.384970946,1.643919152,0.629761128,1.623333136,1.70018675,0.781316611,0.553716435,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,6.413328205,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,0.581693188,0.892354719
0.512513396,-0.776141517,-0.509958227,0.716950248,0.514512468,0.676121491,-1.129676223,-0.598380108,-0.956199392,0.541749342,-0.272875428,-1.026948593,1.234723961,-2.263122814,-0.929364064,-0.924861418,0.30912023,0.037900677,-0.422529104,-0.256579155,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,4.949782205,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,0.581693188,-0.476998301
-0.00464813,1.372036972,-0.509958227,1.080315605,0.993327834,2.134397524,-0.554445676,1.521089553,1.43639631,-0.786051112,0.410201785,0.786267259,-0.754515528,0.168939693,0.357277544,0.629761128,0.30912023,0.76631817,1.28027898,0.14856864,-0.359104974,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,3.869479468,-0.133584258,-0.159308317,-0.091208079,1.693101723,1.621823151
0.033584104,0.655977475,0.389895246,0.056285962,-0.538881338,0.966860983,-0.784083167,0.14224356,-0.127583286,1.520005154,1.224956533,0.786267259,1.234723961,0.168939693,0.357277544,2.184383674,0.30912023,0.056578049,1.121878228,2.354373301,3.192275728,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,4.603388271,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,0.581693188,0.25247013
-0.513213819,0.655977475,-0.509958227,-1.331109039,-1.640156681,-0.999636838,0.889314789,-0.226877561,-0.354053926,0.978093661,0.574798704,0.786267259,-0.754515528,-1.047091561,1.000598348,2.184383674,0.30912023,-0.018131437,-0.026527224,-0.706743372,2.834022412,-0.098584375,-0.05873218,-0.102079973,-0.195416238,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,3.341185986,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,-0.529715347,-0.644648063
-0.346428906,-0.776141517,0.389895246,-1.066843325,-1.640156681,0.948546684,-0.956879695,-0.134001924,-0.2075141,-0.786051112,-0.859251952,-1.026948593,-0.754515528,-1.047091561,-0.929364064,2.184383674,-1.005092677,-1.24616862,-0.739330608,-0.646721476,-0.359104974,-0.098584375,-0.05873218,-0.102079973,5.115522278,-0.123926774,-0.317904551,-0.190625751,-0.26509234,-0.24521915,-0.178680054,-0.113503585,-0.201959618,-0.423856372,-0.155871661,-0.089272218,-0.24521915,-0.217156595,-0.299192001,-0.129527778,-0.233988981,-0.211896468,-0.258343824,-0.133584258,-0.159308317,-0.091208079,-0.529715347,-0.796940595
